City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
1,Saint-Leu,RE,77.86,few clouds,-21.15,55.2833,La Caz Oceane
3,Mayumba,GA,80.6,few clouds,-3.432,10.6554,LIKWALE LODGE
5,Rikitea,PF,78.1,overcast clouds,-23.1203,-134.9692,People ThankYou
7,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
12,East London,ZA,78.55,clear sky,-33.0153,27.9116,Tu Casa
15,Vao,NC,77.13,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
17,Hermanus,ZA,77.9,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
18,Richards Bay,ZA,78.6,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
19,Tautira,PF,78.82,light rain,-17.7333,-149.15,Pension Oaoa
25,Butaritari,KI,82.09,broken clouds,3.0707,172.7902,Isles Sunset Lodge
29,Atuona,PF,77.99,clear sky,-9.8,-139.0333,Villa Enata
34,Progreso,MX,79.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
35,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
41,Buchanan,LR,93.16,clear sky,5.8808,-10.0467,Kamaneahn Hotel Inc
43,Alofi,NU,71.49,broken clouds,-19.0595,-169.9187,Taloa Heights
45,Cayenne,GF,74.08,mist,4.9333,-52.3333,Hôtel Le Dronmi
46,Kutum,SD,73.47,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
48,Namatanai,PG,79.5,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
49,Rodrigues Alves,BR,84.4,broken clouds,-7.738,-72.6509,Pousada Aconchego
51,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
52,Itaituba,BR,86.16,broken clouds,-4.2761,-55.9836,Hotel Campos
54,Bredasdorp,ZA,72.72,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
55,Catamarca,AR,84.78,overcast clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
56,Afua,BR,76.59,overcast clouds,-0.1567,-50.3867,Hotel Dias
58,Paoua,CF,91.65,clear sky,7.2427,16.4406,Quartier Paoua Elien
