City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
0,Albany,US,2022-01-24 15:19:30,42.6001,-73.9662,21.81,64,13,3.62,few clouds
1,Kharan,PK,2022-01-24 15:19:30,28.5833,65.4167,49.33,33,0,5.3,clear sky
2,Oussouye,SN,2022-01-24 15:19:30,12.485,-16.5469,94.12,15,91,1.43,overcast clouds
3,Mahebourg,MU,2022-01-24 15:19:31,-20.4081,57.7,79.09,69,40,13.8,scattered clouds
4,Avarua,CK,2022-01-24 15:19:31,-21.2078,-159.775,80.65,89,75,11.5,broken clouds
5,Tautira,PF,2022-01-24 15:19:31,-17.7333,-149.15,77.02,80,100,16.26,overcast clouds
6,Caravelas,BR,2022-01-24 15:19:32,-17.7125,-39.2481,84.22,61,100,7.96,overcast clouds
7,Bluff,NZ,2022-01-24 15:19:32,-46.6,168.3333,50.85,82,100,9.46,overcast clouds
8,Barrow,US,2022-01-24 15:18:55,71.2906,-156.7887,6.82,78,100,24.16,light snow
9,At-Bashi,KG,2022-01-24 15:19:32,41.1702,75.8106,-2.31,84,6,2.82,clear sky
10,Terrace,CA,2022-01-24 15:19:33,54.5163,-128.6035,37.31,100,100,9.22,light intensity drizzle
11,Tilichiki,RU,2022-01-24 15:19:33,60.4667,166.1,-21.69,95,73,7.02,broken clouds
12,East London,ZA,2022-01-24 15:19:33,-33.0153,27.9116,74.34,73,0,17.27,clear sky
13,Red Wing,US,2022-01-24 15:19:34,44.5625,-92.5338,10.31,81,100,1.01,overcast clouds
14,Sakleshpur,IN,2022-01-24 15:19:34,12.9667,75.7833,59.18,82,9,5.21,clear sky
15,Busselton,AU,2022-01-24 15:19:34,-33.65,115.3333,62.1,72,3,12.12,clear sky
16,Egvekinot,RU,2022-01-24 15:19:35,66.3167,-179.1667,-22.38,87,6,10.76,clear sky
17,Port Alfred,ZA,2022-01-24 15:19:35,-33.5906,26.891,77.02,71,2,13.62,clear sky
18,Port Hardy,CA,2022-01-24 15:15:26,50.6996,-127.4199,38.75,93,100,3.44,fog
19,Cape Town,ZA,2022-01-24 15:18:55,-33.9258,18.4232,78.12,66,75,8.01,broken clouds
20,New Norfolk,AU,2022-01-24 15:19:36,-42.7826,147.0587,62.71,69,100,0.56,overcast clouds
21,Dibulla,CO,2022-01-24 15:19:36,11.2725,-73.3091,82.33,59,84,9.57,broken clouds
22,Kununurra,AU,2022-01-24 15:19:36,-15.7667,128.7333,75.18,100,75,6.91,moderate rain
23,Port Keats,AU,2022-01-24 15:19:37,-14.25,129.55,80.62,83,98,9.15,light rain
24,Iskateley,RU,2022-01-24 15:19:37,67.6803,53.1512,17.11,92,100,24.45,light snow
25,Rikitea,PF,2022-01-24 15:19:38,-23.1203,-134.9692,78.1,75,100,16.53,overcast clouds
26,Dikson,RU,2022-01-24 15:19:38,73.5069,80.5464,8.44,93,100,27.29,overcast clouds
27,Yueyang,CN,2022-01-24 15:19:38,29.3333,113.0919,39.15,91,100,5.88,overcast clouds
28,Mataura,NZ,2022-01-24 15:19:39,-46.1927,168.8643,42.96,98,98,1.36,overcast clouds
29,Kaitangata,NZ,2022-01-24 15:19:39,-46.2817,169.8464,46.31,94,100,4.32,overcast clouds
30,Hilo,US,2022-01-24 15:19:39,19.7297,-155.09,67.8,79,0,9.22,clear sky
31,Emilio Carranza,MX,2022-01-24 15:19:39,19.9711,-96.6114,68.16,81,62,1.07,broken clouds
32,Umm Kaddadah,SD,2022-01-24 15:19:40,13.6017,26.6876,78.91,11,20,14.25,few clouds
33,Olafsvik,IS,2022-01-24 15:19:40,64.8945,-23.7142,37.31,64,100,12.01,overcast clouds
34,Kavieng,PG,2022-01-24 15:19:40,-2.5744,150.7967,82.36,74,98,5.41,overcast clouds
35,Doume,CM,2022-01-24 15:19:41,4.2333,13.45,97.07,13,0,3.94,clear sky
36,Jamestown,US,2022-01-24 15:19:33,42.097,-79.2353,14.72,61,100,5.99,overcast clouds
37,Ayagoz,KZ,2022-01-24 15:19:41,47.9714,80.4392,2.17,92,100,11.74,overcast clouds
38,Airai,TL,2022-01-24 15:19:42,-8.9266,125.4092,61.86,89,100,1.28,overcast clouds
39,Puerto Escondido,MX,2022-01-24 15:19:42,15.85,-97.0667,77.83,83,0,6.91,clear sky
40,Vydrino,RU,2022-01-24 15:19:42,51.485,104.8461,14.04,95,100,3.31,light snow
41,Nikolskoye,RU,2022-01-24 15:19:43,59.7035,30.7861,31.87,92,100,12.03,light snow
42,Kasane,BW,2022-01-24 15:19:43,-17.8167,25.15,86.09,37,20,6.91,few clouds
43,Eganville,CA,2022-01-24 15:20:43,45.5334,-77.0994,2.01,76,94,6.76,overcast clouds
44,Isangel,VU,2022-01-24 15:20:44,-19.55,169.2667,80.2,84,28,2.75,scattered clouds
45,Bambous Virieux,MU,2022-01-24 15:20:44,-20.3428,57.7575,79.05,69,40,13.8,scattered clouds
46,Marzuq,YE,2022-01-24 15:20:44,14.4,46.4667,72.34,30,10,6.82,clear sky
47,Castro,BR,2022-01-24 15:20:45,-24.7911,-50.0119,85.05,47,0,3.65,clear sky
48,Severo-Kurilsk,RU,2022-01-24 15:20:45,50.6789,156.125,22.51,72,90,9.42,overcast clouds
49,Luderitz,NA,2022-01-24 15:20:45,-26.6481,15.1594,85.26,48,59,18.23,broken clouds
50,Kapaa,US,2022-01-24 15:20:46,22.0752,-159.319,71.92,65,0,13.8,clear sky
51,Kupang,ID,2022-01-24 15:20:46,-10.1667,123.5833,79.38,94,40,2.3,scattered clouds
52,Saint-Joseph,RE,2022-01-24 15:20:46,-21.3667,55.6167,77.38,75,67,17.58,broken clouds
